lab_id,model_id,model_expression,anger,disgust,fear,happiness,sadness,surprise,other
MF0021,0001,fear,NA,0.011627906976744186,0.011627906976744186,0.36046511627906974,NA,0.6162790697674418,NA
MF0021,0001,happiness,NA,NA,NA,0.956140350877193,0.017543859649122806,0.008771929824561403,0.017543859649122806
MF0021,0001,sadness,0.041237113402061855,0.010309278350515464,NA,0.5257731958762887,0.041237113402061855,0.05154639175257732,0.32989690721649484
MF0021,0001,surprise,NA,NA,NA,0.6206896551724138,NA,0.3793103448275862,NA
MF0021,0002,anger,0.0449438202247191,0.033707865168539325,0.0898876404494382,0.033707865168539325,0.19101123595505617,0.1348314606741573,0.47191011235955055
MF0021,0002,disgust,NA,0.32989690721649484,0.23711340206185566,0.020618556701030927,NA,0.30927835051546393,0.10309278350515463
MF0021,0002,fear,NA,0.03488372093023256,0.08139534883720931,0.5116279069767442,0.08139534883720931,0.09302325581395349,0.19767441860465115
MF0021,0002,happiness,NA,NA,NA,0.9824561403508771,0.008771929824561403,0.008771929824561403,NA
MF0021,0002,sadness,0.030927835051546393,0.15463917525773196,0.020618556701030927,0.030927835051546393,0.27835051546391754,0.010309278350515464,0.4742268041237113
MF0021,0002,surprise,0.034482758620689655,0.09195402298850575,0.16091954022988506,0.034482758620689655,0.12643678160919541,0.2413793103448276,0.3103448275862069
MF0021,0003,happiness,NA,0.008771929824561403,NA,0.9912280701754386,NA,NA,NA
MF0021,0004,anger,0.16853932584269662,0.0449438202247191,0.033707865168539325,0.02247191011235955,0.16853932584269662,0.011235955056179775,0.550561797752809
MF0021,0004,disgust,0.08247422680412371,0.20618556701030927,0.041237113402061855,0.061855670103092786,0.1958762886597938,0.12371134020618557,0.28865979381443296
MF0021,0004,fear,0.10465116279069768,0.046511627906976744,0.011627906976744186,0.06976744186046512,0.09302325581395349,0.03488372093023256,0.6395348837209303
MF0021,0004,happiness,NA,NA,NA,0.9824561403508771,NA,0.017543859649122806,NA
MF0021,0004,sadness,0.16494845360824742,0.07216494845360824,0.020618556701030927,0.020618556701030927,0.27835051546391754,0.030927835051546393,0.41237113402061853
MF0021,0004,surprise,NA,NA,0.04597701149425287,0.39080459770114945,0.034482758620689655,0.034482758620689655,0.4942528735632184
MF0021,0005,happiness,NA,NA,NA,0.9912280701754386,NA,NA,0.008771929824561403
MF0021,0005,sadness,0.05154639175257732,0.08247422680412371,0.09278350515463918,NA,0.6907216494845361,NA,0.08247422680412371
MF0021,0005,surprise,0.011494252873563218,NA,NA,0.6781609195402298,NA,0.2988505747126437,0.011494252873563218
MF0021,0006,anger,0.11235955056179775,0.6741573033707865,NA,0.02247191011235955,0.0898876404494382,NA,0.10112359550561797
MF0021,0006,disgust,0.07216494845360824,0.5463917525773195,0.010309278350515464,0.030927835051546393,0.10309278350515463,0.041237113402061855,0.1958762886597938
MF0021,0006,fear,0.08139534883720931,0.3488372093023256,0.16279069767441862,0.011627906976744186,0.11627906976744186,0.05813953488372093,0.22093023255813954
MF0021,0006,happiness,NA,0.017543859649122806,NA,0.9824561403508771,NA,NA,NA
MF0021,0006,sadness,0.16494845360824742,0.20618556701030927,0.041237113402061855,0.010309278350515464,0.3402061855670103,0.020618556701030927,0.21649484536082475
MF0021,0006,surprise,NA,NA,NA,0.9310344827586207,NA,0.04597701149425287,0.022988505747126436
MF0021,0007,anger,0.06741573033707865,0.02247191011235955,0.07865168539325842,0.06741573033707865,0.15730337078651685,0.033707865168539325,0.5730337078651685
MF0021,0007,disgust,0.020618556701030927,0.10309278350515463,0.10309278350515463,0.41237113402061853,0.061855670103092786,0.05154639175257732,0.24742268041237114
MF0021,0007,fear,0.011627906976744186,0.03488372093023256,0.16279069767441862,0.08139534883720931,0.03488372093023256,0.47674418604651164,0.19767441860465115
MF0021,0007,happiness,NA,NA,NA,1,NA,NA,NA
MF0021,0007,sadness,0.061855670103092786,0.15463917525773196,0.16494845360824742,0.061855670103092786,0.2268041237113402,0.05154639175257732,0.27835051546391754
MF0021,0007,surprise,0.011494252873563218,0.022988505747126436,0.25287356321839083,0.04597701149425287,0.022988505747126436,0.5057471264367817,0.13793103448275862
MF0021,0008,anger,0.1797752808988764,0.011235955056179775,0.011235955056179775,0.25842696629213485,0.10112359550561797,0.07865168539325842,0.3595505617977528
MF0021,0008,disgust,0.09278350515463918,0.7216494845360825,0.030927835051546393,0.030927835051546393,0.041237113402061855,0.041237113402061855,0.041237113402061855
MF0021,0008,fear,0.011627906976744186,NA,0.023255813953488372,0.6976744186046512,0.03488372093023256,0.12790697674418605,0.10465116279069768
MF0021,0008,happiness,NA,NA,NA,0.9824561403508771,NA,NA,0.017543859649122806
MF0021,0008,sadness,0.29896907216494845,0.07216494845360824,0.061855670103092786,0.05154639175257732,0.15463917525773196,0.020618556701030927,0.3402061855670103
MF0021,0008,surprise,0.011494252873563218,NA,0.011494252873563218,0.11494252873563218,NA,0.8275862068965517,0.034482758620689655
MF0021,0009,anger,NA,0.033707865168539325,NA,0.7528089887640449,0.011235955056179775,0.0449438202247191,0.15730337078651685
MF0021,0009,disgust,0.5051546391752577,0.041237113402061855,0.05154639175257732,0.030927835051546393,0.14432989690721648,0.020618556701030927,0.20618556701030927
MF0021,0009,fear,NA,0.011627906976744186,0.011627906976744186,0.8372093023255814,0.023255813953488372,0.06976744186046512,0.046511627906976744
MF0021,0009,happiness,NA,NA,NA,0.9649122807017544,NA,0.02631578947368421,0.008771929824561403
MF0021,0009,sadness,0.020618556701030927,0.020618556701030927,NA,0.7731958762886598,0.020618556701030927,0.041237113402061855,0.12371134020618557
MF0021,0009,surprise,NA,0.011494252873563218,NA,0.8275862068965517,0.011494252873563218,0.08045977011494253,0.06896551724137931
MF0021,0010,anger,0.1797752808988764,0.0898876404494382,0.02247191011235955,0.5617977528089888,0.02247191011235955,0.011235955056179775,0.11235955056179775
MF0021,0010,disgust,0.31958762886597936,0.5670103092783505,0.030927835051546393,NA,0.041237113402061855,0.010309278350515464,0.030927835051546393
MF0021,0010,fear,NA,0.011627906976744186,0.011627906976744186,0.023255813953488372,0.011627906976744186,0.9069767441860465,0.03488372093023256
MF0021,0010,happiness,0.008771929824561403,NA,NA,0.9035087719298246,NA,0.02631578947368421,0.06140350877192982
MF0021,0010,sadness,0.030927835051546393,0.08247422680412371,0.020618556701030927,0.09278350515463918,0.12371134020618557,0.1958762886597938,0.4536082474226804
MF0021,0010,surprise,NA,0.011494252873563218,0.022988505747126436,0.04597701149425287,0.011494252873563218,0.8735632183908046,0.034482758620689655
MF0022,0001,happiness,0.017543859649122806,NA,NA,0.9649122807017544,0.008771929824561403,NA,0.008771929824561403
MF0022,0002,happiness,NA,NA,NA,0.9824561403508771,NA,NA,0.017543859649122806
MF0022,0003,happiness,NA,NA,NA,0.9824561403508771,NA,0.017543859649122806,NA
MF0022,0004,happiness,NA,NA,NA,0.9912280701754386,0.008771929824561403,NA,NA
MF0022,0005,happiness,NA,0.008771929824561403,0.008771929824561403,0.9824561403508771,NA,NA,NA
MF0022,0006,happiness,0.008771929824561403,0.03508771929824561,NA,0.9035087719298246,0.017543859649122806,0.008771929824561403,0.02631578947368421
MF0022,0007,happiness,NA,NA,NA,0.9649122807017544,0.008771929824561403,0.017543859649122806,0.008771929824561403
MF0022,0008,happiness,NA,NA,NA,0.9824561403508771,0.008771929824561403,0.008771929824561403,NA
MF0022,0009,happiness,NA,NA,NA,0.9649122807017544,0.008771929824561403,0.017543859649122806,0.008771929824561403
MF0022,0010,happiness,NA,0.008771929824561403,0.008771929824561403,0.9736842105263158,NA,0.008771929824561403,NA
MF0023,0001,anger,0.20224719101123595,0.2247191011235955,0.0449438202247191,0.033707865168539325,0.14606741573033707,0.056179775280898875,0.29213483146067415
MF0023,0001,disgust,0.1134020618556701,0.18556701030927836,0.09278350515463918,0.010309278350515464,0.30927835051546393,0.08247422680412371,0.20618556701030927
MF0023,0001,fear,0.023255813953488372,0.05813953488372093,0.26744186046511625,0.03488372093023256,0.19767441860465115,0.13953488372093023,0.27906976744186046
MF0023,0001,happiness,0.008771929824561403,NA,NA,0.9649122807017544,0.008771929824561403,0.008771929824561403,0.008771929824561403
MF0023,0001,sadness,0.12371134020618557,0.05154639175257732,0.030927835051546393,0.041237113402061855,0.29896907216494845,0.041237113402061855,0.41237113402061853
MF0023,0001,surprise,NA,NA,NA,0.034482758620689655,NA,0.9655172413793104,NA
MF0023,0002,anger,0.011235955056179775,0.011235955056179775,0.033707865168539325,0.20224719101123595,0.20224719101123595,NA,0.5393258426966292
MF0023,0002,disgust,0.061855670103092786,NA,0.010309278350515464,0.05154639175257732,0.35051546391752575,0.010309278350515464,0.5154639175257731
MF0023,0002,fear,0.023255813953488372,0.023255813953488372,0.05813953488372093,0.046511627906976744,0.20930232558139536,0.09302325581395349,0.5465116279069767
MF0023,0002,happiness,NA,NA,NA,0.9912280701754386,0.008771929824561403,NA,NA
MF0023,0002,sadness,0.010309278350515464,0.041237113402061855,0.041237113402061855,0.14432989690721648,0.1958762886597938,0.041237113402061855,0.5257731958762887
MF0023,0002,surprise,0.011494252873563218,0.022988505747126436,0.034482758620689655,0.5977011494252874,0.034482758620689655,0.034482758620689655,0.26436781609195403
MF0023,0003,anger,0.4606741573033708,0.10112359550561797,0.02247191011235955,0.02247191011235955,0.15730337078651685,0.0449438202247191,0.19101123595505617
MF0023,0003,disgust,0.010309278350515464,0.8762886597938144,0.041237113402061855,0.010309278350515464,0.061855670103092786,NA,NA
MF0023,0003,fear,0.023255813953488372,0.1511627906976744,0.09302325581395349,0.3372093023255814,0.011627906976744186,0.26744186046511625,0.11627906976744186
MF0023,0003,happiness,NA,NA,NA,0.9824561403508771,NA,0.017543859649122806,NA
MF0023,0003,sadness,0.1134020618556701,0.061855670103092786,0.020618556701030927,0.010309278350515464,0.6597938144329897,0.010309278350515464,0.12371134020618557
MF0023,0003,surprise,NA,0.022988505747126436,0.12643678160919541,NA,0.011494252873563218,0.8275862068965517,0.011494252873563218
MF0023,0004,anger,0.011235955056179775,0.033707865168539325,0.02247191011235955,0.797752808988764,0.011235955056179775,0.011235955056179775,0.11235955056179775
MF0023,0004,disgust,0.041237113402061855,0.4020618556701031,0.18556701030927836,0.07216494845360824,0.12371134020618557,0.041237113402061855,0.13402061855670103
MF0023,0004,fear,0.023255813953488372,0.023255813953488372,0.3953488372093023,0.011627906976744186,0.3023255813953488,0.023255813953488372,0.22093023255813954
MF0023,0004,happiness,0.008771929824561403,NA,0.008771929824561403,0.956140350877193,0.008771929824561403,NA,0.017543859649122806
MF0023,0004,sadness,0.09278350515463918,0.041237113402061855,0.061855670103092786,0.010309278350515464,0.3711340206185567,0.020618556701030927,0.4020618556701031
MF0023,0004,surprise,0.011494252873563218,0.22988505747126436,0.1724137931034483,0.22988505747126436,NA,0.14942528735632185,0.20689655172413793
MF0023,0005,anger,0.0449438202247191,0.011235955056179775,NA,0.4157303370786517,0.0449438202247191,0.10112359550561797,0.38202247191011235
MF0023,0005,disgust,0.030927835051546393,0.09278350515463918,0.3711340206185567,NA,0.041237113402061855,0.422680412371134,0.041237113402061855
MF0023,0005,fear,NA,NA,NA,0.6511627906976745,0.011627906976744186,0.27906976744186046,0.05813953488372093
MF0023,0005,happiness,NA,0.008771929824561403,NA,0.9649122807017544,NA,0.017543859649122806,0.008771929824561403
MF0023,0005,sadness,0.020618556701030927,0.13402061855670103,0.09278350515463918,0.05154639175257732,0.36082474226804123,0.1134020618556701,0.2268041237113402
