lab_id,model_id,model_expression,anger,disgust,fear,happiness,sadness,surprise,other,mean_intensity_rating
MF0004,0001,anger,0.2268041237113402,0.31958762886597936,0.030927835051546393,0.030927835051546393,0.2268041237113402,0.061855670103092786,0.10309278350515463,3.392857142857143
MF0004,0001,disgust,NA,0.45977011494252873,0.11494252873563218,0.05747126436781609,0.11494252873563218,0.08045977011494253,0.1724137931034483,3.5164835164835164
MF0004,0001,fear,0.011363636363636364,0.2840909090909091,0.1590909090909091,0.03409090909090909,0.2840909090909091,0.06818181818181818,0.1590909090909091,3.7666666666666666
MF0004,0001,happiness,NA,NA,NA,0.9587628865979382,NA,0.020618556701030927,0.020618556701030927,3.9450549450549453
MF0004,0001,sadness,0.06976744186046512,0.06976744186046512,0.09302325581395349,0.011627906976744186,0.46511627906976744,0.046511627906976744,0.2441860465116279,3.5242718446601944
MF0004,0001,surprise,0.008771929824561403,0.02631578947368421,0.017543859649122806,0.11403508771929824,0.03508771929824561,0.6578947368421053,0.14035087719298245,3.261904761904762
MF0004,0002,anger,0.9072164948453608,0.041237113402061855,NA,NA,0.030927835051546393,0.020618556701030927,NA,5.130952380952381
MF0004,0002,disgust,0.3103448275862069,0.19540229885057472,0.08045977011494253,NA,0.22988505747126436,0.06896551724137931,0.11494252873563218,3.010989010989011
MF0004,0002,fear,0.2840909090909091,0.14772727272727273,0.1590909090909091,0.022727272727272728,0.11363636363636363,0.13636363636363635,0.13636363636363635,3.2555555555555555
MF0004,0002,happiness,0.010309278350515464,0.030927835051546393,NA,0.9278350515463918,NA,0.010309278350515464,0.020618556701030927,4.351648351648351
MF0004,0002,sadness,0.08139534883720931,0.22093023255813954,0.023255813953488372,0.011627906976744186,0.5930232558139535,0.011627906976744186,0.05813953488372093,4.349514563106796
MF0004,0002,surprise,0.07894736842105263,0.06140350877192982,0.07017543859649122,0.03508771929824561,0.22807017543859648,0.22807017543859648,0.2982456140350877,1.8214285714285714
MF0004,0003,anger,0.3711340206185567,0.21649484536082475,0.010309278350515464,0.020618556701030927,0.13402061855670103,0.10309278350515463,0.14432989690721648,4.011904761904762
MF0004,0003,disgust,0.011494252873563218,0.4482758620689655,0.14942528735632185,0.022988505747126436,0.09195402298850575,0.1839080459770115,0.09195402298850575,3.5604395604395602
MF0004,0003,fear,0.045454545454545456,0.06818181818181818,0.03409090909090909,0.22727272727272727,0.10227272727272728,0.045454545454545456,0.4772727272727273,2.4
MF0004,0003,happiness,NA,NA,NA,0.9896907216494846,NA,NA,0.010309278350515464,5.56043956043956
MF0004,0003,sadness,0.1744186046511628,0.06976744186046512,0.09302325581395349,NA,0.45348837209302323,0.023255813953488372,0.18604651162790697,3.8058252427184467
MF0004,0003,surprise,0.008771929824561403,NA,0.043859649122807015,0.07017543859649122,0.017543859649122806,0.7456140350877193,0.11403508771929824,3.369047619047619
MF0004,0004,anger,0.020618556701030927,0.26804123711340205,0.07216494845360824,0.07216494845360824,0.25773195876288657,0.07216494845360824,0.23711340206185566,2.6904761904761907
MF0004,0004,disgust,0.022988505747126436,0.28735632183908044,0.10344827586206896,0.08045977011494253,0.28735632183908044,0.11494252873563218,0.10344827586206896,3.3516483516483517
MF0004,0004,fear,0.045454545454545456,0.06818181818181818,0.1590909090909091,0.1590909090909091,0.10227272727272728,0.17045454545454544,0.29545454545454547,2.6666666666666665
MF0004,0004,happiness,NA,0.010309278350515464,NA,0.979381443298969,NA,0.010309278350515464,NA,4.549450549450549
MF0004,0004,sadness,0.03488372093023256,0.023255813953488372,0.10465116279069768,0.011627906976744186,0.5697674418604651,0.023255813953488372,0.23255813953488372,3.9611650485436893
MF0004,0004,surprise,NA,NA,0.03508771929824561,0.5350877192982456,0.017543859649122806,0.07017543859649122,0.34210526315789475,2.142857142857143
MF0004,0005,anger,0.020618556701030927,0.10309278350515463,0.05154639175257732,0.09278350515463918,0.25773195876288657,0.020618556701030927,0.4536082474226804,2.392857142857143
MF0004,0005,disgust,0.022988505747126436,0.011494252873563218,0.022988505747126436,0.20689655172413793,0.1839080459770115,0.034482758620689655,0.5172413793103449,1.6923076923076923
MF0004,0005,fear,0.022727272727272728,0.011363636363636364,0.14772727272727273,0.11363636363636363,0.022727272727272728,0.3409090909090909,0.3409090909090909,2.3444444444444446
MF0004,0005,happiness,0.020618556701030927,0.010309278350515464,NA,0.7938144329896907,0.010309278350515464,0.030927835051546393,0.13402061855670103,3.1648351648351647
MF0004,0005,sadness,0.011627906976744186,0.03488372093023256,0.023255813953488372,0.06976744186046512,0.3023255813953488,0.011627906976744186,0.5465116279069767,2.8058252427184467
