lab_id,model_id,std_ang,std_dis,std_fea,std_hap,std_neu,std_sad,std_sur,unstd_neu,age,ethnicity,ethnicity_rec,face_shape,face_shape-specific,gender,gender_rec,height,height_units,height_cm,weight,weight_units,weight_kg,makeup_blush,makeup_concealer,makeup_eyebrow,makeup_eyelashes,makeup_eyes,makeup_foundation,makeup_lips,makeup_permanent,makeup_semipermanent,memorable,dominant,attractive,trustworthy,gender-typical,attractive (unstd),trustworthy (unstd),dominant (unstd)
MF0006,0003,1,1,1,1,1,1,1,0,22,branca,White,2,Cirurgia de correÃ§Ã£o de orelha de abano,nã£o binã¡rio,non-binary,167,cm,167,69,kg,69,1,1,1,1,1,1,1,1,1,4.240963855421687,3.3085106382978724,3.152941176470588,4.101123595505618,4.764705882352941,NA,NA,NA
MF0006,0004,1,1,1,1,1,1,1,0,37,negra,Black,1,nenhum,nã£o binã¡rio,non-binary,201,cm,201,110,kg,110,1,1,1,1,1,1,1,1,1,5,4.914893617021277,2.9176470588235293,2.730337078651685,4.764705882352941,NA,NA,NA
MF0006,0005,1,1,1,1,1,1,1,1,23,latina branca,Latine,2,Utilizei aparelho ortodÃ´ntico desde meus 5 anos atÃ© hoje.,feminino,female,166,cm,166,73,kg,73,1,1,1,1,1,1,1,1,1,3.9879518072289155,3.74468085106383,3.211764705882353,4.123595505617978,5.023529411764706,3.4404761904761907,4.170454545454546,3.7083333333333335
MF0006,0006,1,1,1,1,1,1,1,1,25,branca,White,1,NA,masculino,male,179,cm,179,68,kg,68,1,1,1,1,1,1,1,1,1,4.048192771084337,3.8191489361702127,3.5058823529411764,4.078651685393258,5.6117647058823525,3.5714285714285716,3.625,3.6666666666666665
MF0006,0007,1,1,1,1,1,1,1,1,24,branca,White,1,NA,feminino,female,153,cm,153,44,kg,44,1,1,1,1,1,1,1,1,1,4.409638554216867,4.085106382978723,4.447058823529412,4.606741573033708,5.270588235294118,4.178571428571429,3.909090909090909,4.177083333333333
MF0006,0008,1,1,1,1,1,1,1,0,30,branco,White,1,NA,homem,male,165,cm,165,60,kg,60,1,1,1,1,1,1,1,1,1,4.518072289156627,4.329787234042553,2.788235294117647,3.337078651685393,5.552941176470588,NA,NA,NA
MF0006,0009,1,1,1,1,1,1,1,0,27,branco,White,1,NA,hetero cis,NA,169,cm,169,61,kg,61,1,1,1,1,1,1,1,1,1,4.072289156626506,3.7872340425531914,3.5176470588235293,4.224719101123595,5.647058823529412,NA,NA,NA
MF0006,0010,1,1,1,1,1,1,1,1,23,branca,White,2,cirurgia para correÃ§Ã£o da orelha (plÃ¡stica),feminino,female,162,cm,162,57,kg,57,1,1,1,1,1,1,1,1,1,3.8433734939759034,3.5106382978723403,3.1411764705882352,4.247191011235955,4.823529411764706,3.1904761904761907,4.3522727272727275,3.4166666666666665
MF0006,0011,1,1,1,1,1,1,1,0,25,branco,White,1,NA,masculino,male,180,cm,180,72,kg,72,1,1,1,1,1,1,1,1,1,4.469879518072289,4.404255319148936,3.6823529411764704,3.853932584269663,5.694117647058824,NA,NA,NA
MF0006,0012,1,1,1,1,1,1,1,0,22,mixraces,Mixed,1,NA,feminino,female,163,cm,163,64,kg,64,1,1,1,1,1,1,1,1,1,4.783132530120482,3.978723404255319,4.247058823529412,3.898876404494382,4.305882352941176,NA,NA,NA
MF0006,0013,1,1,1,1,1,1,1,0,22,parda,Mixed,1,NA,feminino,female,163,cm,163,54,kg,54,1,1,1,1,1,1,1,1,1,4.168674698795181,3.74468085106383,3.376470588235294,4.258426966292135,4.788235294117647,NA,NA,NA
MF0007,0001,0,0,0,0,1,0,0,0,28,caucasian,White,2,NA,male,male,68,in,172.72,150,lb,68.03893641534596,1,1,1,1,1,1,1,1,1,4.036144578313253,4,3.929411764705882,4.685393258426966,5.658823529411765,NA,NA,NA
MF0007,0002,1,1,1,0,1,1,1,0,30,white (italian),White,1,NA,female,female,67,in,170.18,127,lb,57.60629949832624,1,1,1,1,2,1,1,1,1,4.168674698795181,3.8085106382978724,4.6,4.707865168539326,5.3764705882352946,NA,NA,NA
MF0007,0003,1,1,1,1,1,1,1,0,29,african (mauritian),Black,1,NA,female,female,62,in,157.48,160,lb,72.57486550970236,1,1,1,1,1,1,1,1,1,4.216867469879518,3.425531914893617,4.317647058823529,5.370786516853933,5.470588235294118,NA,NA,NA
MF0007,0004,0,0,0,0,0,0,0,1,36,white,White,1,NA,female,female,65,in,165.1,NA,NA,NA,1,1,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,3.7857142857142856,4.579545454545454,4.072916666666667
MF0007,0005,1,1,1,1,1,1,1,0,44,east indian,Asian,2,Braces at age 14.,female,female,67,in,170.18,NA,NA,NA,1,1,1,1,1,1,1,1,1,3.927710843373494,3.6595744680851063,2.611764705882353,4.022471910112359,4.976470588235294,NA,NA,NA
MF0007,0006,0,0,0,0,0,0,0,1,NA,south asian,Asian,NA,NA,female,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9285714285714284,4.511363636363637,3.75
MF0007,0007,0,0,0,0,0,0,0,1,54,NA,NA,1,NA,female,female,63,in,160.02,NA,NA,NA,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,3.5,4.931818181818182,4.166666666666667
MF0007,0008,1,1,1,1,1,1,1,0,38,chinese,Asian,1,NA,female,female,160,cm,160,130,lb,58.96707822663317,1,1,1,1,1,1,1,1,1,3.927710843373494,3.574468085106383,2.8941176470588235,4.292134831460674,4.247058823529412,NA,NA,NA
MF0007,0009,0,0,0,0,0,0,0,1,46,white,White,1,NA,female,female,62,in,157.48,NA,NA,NA,1,1,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,2.9166666666666665,4.488636363636363,4.291666666666667
MF0007,0010,0,0,0,0,0,0,0,1,37,east african middle eastern,Middle Eastern or North African (MENA),1,NA,female,female,64,in,162.56,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4.178571428571429,5.056818181818182,3.6770833333333335
MF0008,0002,1,1,1,1,1,1,1,1,20,south asian,Asian,1,NA,female,female,167,cm,167,130,lb,58.96707822663317,1,1,1,1,1,1,1,1,1,3.963855421686747,3.606382978723404,3.2823529411764705,4.651685393258427,5.08235294117647,3.4285714285714284,4.806818181818182,3.5
MF0008,0004,1,1,1,1,1,1,1,1,19,east indian,Asian,1,NA,male,male,178,cm,178,185,lb,83.91468824559335,1,1,1,1,1,1,1,1,1,4.650602409638554,4.691489361702128,4.823529411764706,4.707865168539326,5.929411764705883,4.571428571428571,4.875,4.458333333333333
MF0008,0005,1,1,1,1,1,1,1,1,18,chinese - east asian,Asian,1,NA,female,female,163,cm,163,125,lb,56.69911367945497,1,1,1,1,1,1,1,1,1,3.7710843373493974,3.5531914893617023,3.5176470588235293,4.179775280898877,4.811764705882353,3.7261904761904763,4.829545454545454,3.5625
MF0008,0006,1,1,1,1,1,1,1,1,18,caucasian,White,1,NA,female,female,163,cm,163,110,lb,49.895220037920375,1,1,1,1,1,2,1,1,1,4.240963855421687,3.595744680851064,3.4705882352941178,4.47191011235955,4.964705882352941,3.511904761904762,4.681818181818182,3.3333333333333335
MF0008,0007,1,1,1,1,1,1,1,1,20,south asian,Asian,1,N/A,male,male,191,cm,191,170,lb,77.11079460405875,1,1,1,1,1,1,1,1,1,4.72289156626506,4.968085106382978,4.035294117647059,3.696629213483146,5.741176470588235,3.880952380952381,4.181818181818182,4.447916666666667
MF0008,0008,1,1,1,1,1,1,1,1,21,south asian,Asian,1,NA,male,male,188,cm,188,95,kg,95,1,1,1,1,1,1,1,1,1,4.373493975903615,5.0212765957446805,3.635294117647059,3.438202247191011,5.776470588235294,3.3214285714285716,3.1704545454545454,4.916666666666667
MF0008,0009,1,1,1,1,1,1,1,1,20,south asian,Asian,1,na,female,female,173,cm,173,65,kg,65,1,1,1,1,1,1,1,1,1,4.168674698795181,3.5638297872340425,3.5176470588235293,4.640449438202247,5.011764705882353,3.4404761904761907,4.511363636363637,3.4479166666666665
MF0008,0010,1,1,1,1,1,1,1,1,20,south asian,Asian,2,SLIGHT CHANGE IN MID UPPER LIP,female,female,168,cm,168,58,kg,58,1,1,1,1,1,1,1,2,1,3.9879518072289155,3.6702127659574466,3.4352941176470586,4.48314606741573,4.91764705882353,3.642857142857143,4.568181818181818,3.7083333333333335
MF0008,0011,1,1,1,1,1,1,1,1,20,south asian,Asian,1,na,male,male,188,in,188,72,kg,72,1,1,1,1,1,1,1,1,1,3.9759036144578315,3.4574468085106385,3.7058823529411766,4.719101123595506,5.811764705882353,4.011904761904762,4.340909090909091,3.8541666666666665
MF0008,0012,1,1,1,1,1,1,1,1,18,south asian,Asian,1,na,female,female,163,cm,163,37,kg,37,1,1,1,1,2,1,2,1,1,4.373493975903615,3.1702127659574466,4.117647058823529,5.224719101123595,5.529411764705882,4.440476190476191,5.1022727272727275,3.2916666666666665
MF0010,0001,1,1,1,1,1,1,1,1,27,tã¼rkiye,Middle Eastern or North African (MENA),NA,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4,4.3936170212765955,4.035294117647059,4.056179775280899,5.1647058823529415,4.035714285714286,4.568181818181818,3.9166666666666665
MF0010,0002,1,1,1,1,1,1,1,1,18,german,White,1,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4.192771084337349,4.414893617021277,4.423529411764706,4.876404494382022,5.6235294117647054,4.988095238095238,5.056818181818182,4.479166666666667
MF0010,0003,1,1,1,1,1,1,1,1,62,NA,NA,NA,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4.518072289156627,3.8404255319148937,3.3058823529411763,4.573033707865169,4.105882352941176,3.4761904761904763,4.8522727272727275,3.8020833333333335
MF0010,0004,1,1,1,1,1,1,1,1,30,tã¼rkiye,Middle Eastern or North African (MENA),NA,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4.096385542168675,3.776595744680851,4.070588235294117,4.359550561797753,5.541176470588235,4.107142857142857,4.840909090909091,4.09375
MF0010,0005,1,1,1,1,1,1,1,1,44,NA,NA,1,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4.132530120481928,3.9680851063829787,3.4235294117647057,4.247191011235955,4.576470588235294,3.642857142857143,4.125,3.9270833333333335
MF0010,0006,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,female,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.024096385542169,3.872340425531915,3.4,4.157303370786517,5,3.238095238095238,4.375,3.875
MF0010,0007,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,female,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9036144578313254,4.680851063829787,2.9529411764705884,3.842696629213483,4.823529411764706,2.9523809523809526,3.772727272727273,4.260416666666667
MF0010,0008,1,1,1,1,1,1,1,1,63,NA,NA,NA,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4.421686746987952,4.819148936170213,1.7529411764705882,3.202247191011236,4.08235294117647,2.1547619047619047,3.4545454545454546,4.604166666666667
MF0010,0009,1,1,1,1,1,1,1,1,60,NA,NA,NA,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4.096385542168675,4.351063829787234,2.776470588235294,4.168539325842697,4.905882352941177,2.630952380952381,4.704545454545454,3.8645833333333335
MF0010,0010,1,1,1,1,1,1,1,1,80,NA,NA,NA,NA,male,male,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4.566265060240964,3.4680851063829787,2.211764705882353,4.056179775280899,5.152941176470589,2.3095238095238093,4.545454545454546,3.84375
MF0010,0011,1,1,1,1,1,1,1,1,33,german,White,1,NA,male,male,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4.530120481927711,3.8191489361702127,2.588235294117647,3.3258426966292136,5.3764705882352946,2.7738095238095237,3.5,3.7395833333333335
MF0010,0012,1,1,1,1,1,1,1,1,27,turkish,Middle Eastern or North African (MENA),1,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4.397590361445783,3.5638297872340425,3.611764705882353,4.47191011235955,5.011764705882353,3.8452380952380953,4.431818181818182,3.4270833333333335
MF0010,0013,1,1,1,1,1,1,1,1,65,german,White,NA,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4.807228915662651,4.861702127659575,2.211764705882353,3.4831460674157304,4.223529411764706,2.488095238095238,3.465909090909091,5.145833333333333
MF0010,0014,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,male,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.180722891566265,4.138297872340425,2.9529411764705884,3.7191011235955056,5.447058823529412,3.357142857142857,3.6363636363636362,4.375
MF0011,0001,1,1,1,1,1,1,1,0,26,german,White,1,"Brocken nose, But no Sugery",female,female,173,cm,173,108,kg,108,1,1,1,1,1,1,1,1,1,4.0602409638554215,3.404255319148936,2.8823529411764706,4.348314606741573,4.952941176470588,NA,NA,NA
MF0011,0002,1,1,1,1,1,1,1,1,25,german,White,1,/,female,female,174,cm,174,62,kg,62,2,2,2,1,2,1,2,1,1,4.132530120481928,3.627659574468085,4.047058823529412,4.775280898876405,5.223529411764706,4.321428571428571,5.056818181818182,3.7604166666666665
MF0011,0003,1,1,1,1,1,1,1,1,26,german,White,1,NA,female,female,179,cm,179,56,kg,56,1,1,2,1,1,1,1,1,1,4.036144578313253,3.627659574468085,3.152941176470588,4.168539325842697,4.894117647058824,3.5357142857142856,4.3977272727272725,3.8541666666666665
MF0011,0004,1,1,1,1,1,1,1,1,24,german/argentinien,White,1,no,female,female,180,cm,180,63,kg,63,1,1,1,1,1,1,1,1,1,4.228915662650603,3.404255319148936,3.6470588235294117,4.573033707865169,4.976470588235294,3.7023809523809526,4.818181818181818,3.6354166666666665
MF0011,0005,1,1,1,1,1,1,1,0,22,german,White,1,NA,male,male,180,cm,180,75,kg,75,1,1,1,1,1,1,1,1,1,3.9036144578313254,4.627659574468085,3.847058823529412,3.898876404494382,5.7176470588235295,NA,NA,NA
MF0011,0006,1,1,1,1,1,1,1,1,25,caucasian,White,2,wisdom teeth removal,male,male,188,cm,188,89,kg,89,1,1,1,1,1,1,1,1,1,4.072289156626506,5.074468085106383,3.2588235294117647,3.044943820224719,5.258823529411765,3.0476190476190474,3.5454545454545454,3.9791666666666665
MF0011,0007,1,1,1,1,1,1,1,0,24,german,White,1,NA,female,female,175,cm,175,78,kg,78,1,2,1,1,1,1,1,1,1,4.0843373493975905,3.7872340425531914,4.952941176470588,5.359550561797753,5.670588235294118,NA,NA,NA
MF0011,0008,1,1,1,1,1,1,1,1,27,caucasian,White,1,no,female,female,178,cm,178,70,kg,70,1,1,1,1,1,1,1,1,1,3.855421686746988,3.6914893617021276,3.4352941176470586,4.370786516853933,4.811764705882353,3.2738095238095237,4.659090909090909,3.15625
MF0011,0009,1,1,1,1,1,1,1,1,31,german,White,1,NA,male,male,169,cm,169,80,kg,80,1,1,1,1,1,1,1,1,1,4.457831325301205,4.340425531914893,2.9529411764705884,3.651685393258427,5.341176470588235,3.1904761904761907,3.4431818181818183,4.8125
MF0011,0010,1,1,1,1,1,1,1,0,30,caucasian,White,1,NA,NA,NA,167,cm,167,60,kg,60,1,1,1,1,1,1,1,1,1,4.0602409638554215,4.24468085106383,4.258823529411765,4.348314606741573,5.6,NA,NA,NA
MF0011,0011,1,1,1,1,1,1,1,1,23,"german, swedish",White,1,no,female,female,170,cm,170,85,kg,85,1,2,1,1,1,1,1,1,1,4.313253012048193,3.776595744680851,4.7176470588235295,5.179775280898877,5.447058823529412,5.083333333333333,5.1477272727272725,3.8541666666666665
MF0012,0001,1,1,1,1,1,1,1,1,26,israeli,Middle Eastern or North African (MENA),1,-,female,female,173,cm,173,65,kg,65,1,1,1,1,1,1,1,1,1,3.9036144578313254,3.872340425531915,3.2705882352941176,4.146067415730337,5.152941176470589,3.5833333333333335,4.409090909090909,4
MF0012,0002,1,1,1,1,1,1,1,1,25,israeli,Middle Eastern or North African (MENA),1,-,male,male,193,cm,193,130,kg,130,1,1,1,1,1,1,1,1,1,4.253012048192771,4.595744680851064,3.8941176470588235,4.426966292134831,5.9411764705882355,3.9404761904761907,4.113636363636363,4.302083333333333
MF0012,0003,1,1,1,1,1,1,1,1,24,israel,Middle Eastern or North African (MENA),1,NA,female,female,162,cm,162,71,kg,71,1,1,1,1,1,1,1,1,1,3.963855421686747,3.617021276595745,4.470588235294118,4.887640449438202,5.141176470588236,4.119047619047619,5.079545454545454,3.9791666666666665
MF0012,0004,1,1,1,1,1,1,1,1,21,israeli,Middle Eastern or North African (MENA),1,NA,female,female,157,cm,157,52,kg,52,1,1,1,1,1,1,1,1,1,4.024096385542169,4.074468085106383,4.658823529411765,4.719101123595506,5.364705882352941,4.154761904761905,4.488636363636363,4.0625
MF0012,0005,0,1,1,1,1,1,1,1,29,israeli,Middle Eastern or North African (MENA),1,-,female,female,164,cm,164,60,kg,60,1,1,1,1,1,1,1,1,1,4.096385542168675,3.978723404255319,3.8941176470588235,4.752808988764045,4.9411764705882355,4.238095238095238,5.045454545454546,3.6354166666666665
MF0012,0006,1,1,1,1,1,1,1,1,25,israeli,Middle Eastern or North African (MENA),1,NA,male,male,182,cm,182,77,kg,77,1,1,1,1,1,1,1,1,1,4.240963855421687,4.48936170212766,4,4.359550561797753,6.129411764705883,3.9404761904761907,4.284090909090909,4.28125
MF0012,0007,1,1,1,1,1,1,1,1,25,israeli,Middle Eastern or North African (MENA),1,-,male,male,193,cm,193,130,kg,130,1,1,1,1,1,1,1,1,1,4.36144578313253,4.1063829787234045,2.776470588235294,3.7752808988764044,5.647058823529412,2.880952380952381,3.784090909090909,4.072916666666667
MF0012,0008,1,1,0,1,1,1,1,1,26,middle eastern/white,Mixed,1,-,female,female,173,cm,173,65,kg,65,1,1,1,1,1,1,1,1,1,4.0602409638554215,3.5851063829787235,2.776470588235294,4.01123595505618,4.211764705882353,2.738095238095238,4.068181818181818,3.875
MF0012,0009,1,1,0,1,1,0,1,1,22,muslim,Middle Eastern or North African (MENA),1,-,female,female,158,cm,158,52,kg,52,1,1,1,1,2,1,2,1,1,3.8674698795180724,4.24468085106383,3.623529411764706,4.101123595505618,4.729411764705882,4.5,4.761363636363637,3.9791666666666665
MF0012,0010,1,1,1,1,1,1,1,1,29,israeli.,Middle Eastern or North African (MENA),1,-,female.,female,164,cm,164,60,kg,60,1,1,1,1,1,1,1,1,1,3.8795180722891565,3.4361702127659575,3.0823529411764707,4.089887640449438,4.552941176470588,3.1666666666666665,4.2272727272727275,3.6041666666666665
MF0013,0002,1,1,1,1,1,1,1,1,23,chinese,Asian,1,NA,female,female,160,cm,160,50,kg,50,1,1,1,1,1,1,1,1,1,4.0120481927710845,3.4468085106382977,3.0588235294117645,4.280898876404494,4.752941176470588,2.9047619047619047,4.409090909090909,3.46875
MF0013,0003,1,1,1,1,1,1,1,1,34,chinese,Asian,1,no,female,female,156,cm,156,60,kg,60,1,1,2,1,1,1,1,1,1,3.7951807228915664,3.5531914893617023,2.776470588235294,4.157303370786517,4.752941176470588,2.761904761904762,4.079545454545454,3.5729166666666665
MF0013,0004,1,1,1,1,1,1,1,1,22,chinese,Asian,1,NA,male,male,170,cm,170,75,kg,75,1,1,1,1,1,1,1,1,1,4.108433734939759,3.7872340425531914,3.6705882352941175,4.348314606741573,5.694117647058824,3.619047619047619,4.215909090909091,3.5729166666666665
MF0013,0005,1,1,1,1,1,1,1,1,24,chinese,Asian,1,NA,female,female,162,cm,162,53,kg,53,1,1,1,1,1,1,1,1,2,4.156626506024097,3.1808510638297873,2.823529411764706,4.202247191011236,4.576470588235294,3.380952380952381,4.5,3.4375
MF0013,0006,1,1,1,1,1,1,1,1,24,chinese,Asian,1,NA,male,male,175,cm,175,70,kg,70,1,1,1,1,1,1,1,1,1,3.9156626506024095,3.8404255319148937,2.929411764705882,3.808988764044944,5.08235294117647,2.630952380952381,4.215909090909091,3.3333333333333335
MF0013,0007,1,1,1,1,1,1,1,1,35,chinese,Asian,1,NA,female,female,162,cm,162,66,kg,66,1,1,1,1,1,1,1,1,1,4.204819277108434,3.606382978723404,3.0470588235294116,4.359550561797753,5.047058823529412,2.8333333333333335,4.295454545454546,3.9583333333333335
