session_id,project_id,quest_name,quest_id,user_id,user_sex,user_status,user_age,q_name,q_id,order,dv,starttime,endtime
155732,1136,ManyFace Pilot Ratings - rater demographics,7875,131571,NA,guest,0,ethnicity,92865402,4,white,2025-05-06T11:41:27Z,2025-05-06T11:41:52Z
155732,1136,ManyFace Pilot Ratings - rater demographics,7875,131571,NA,guest,0,device,92865411,5,laptop,2025-05-06T11:41:27Z,2025-05-06T11:41:52Z
155732,1136,ManyFace Pilot Ratings - rater demographics,7875,131571,NA,guest,0,try,92865403,6,2,2025-05-06T11:41:27Z,2025-05-06T11:41:52Z
155733,1136,ManyFace Pilot Ratings - rater demographics,7875,131572,NA,guest,0,gender,92865399,1,male,2025-05-06T11:34:26Z,2025-05-06T11:39:24Z
155733,1136,ManyFace Pilot Ratings - rater demographics,7875,131572,NA,guest,0,age,92865400,2,47,2025-05-06T11:34:26Z,2025-05-06T11:39:24Z
155733,1136,ManyFace Pilot Ratings - rater demographics,7875,131572,NA,guest,0,residence,92865401,3,ES,2025-05-06T11:34:26Z,2025-05-06T11:39:24Z
155733,1136,ManyFace Pilot Ratings - rater demographics,7875,131572,NA,guest,0,ethnicity,92865402,4,Latin European,2025-05-06T11:34:26Z,2025-05-06T11:39:24Z
155733,1136,ManyFace Pilot Ratings - rater demographics,7875,131572,NA,guest,0,device,92865411,5,desktop,2025-05-06T11:34:26Z,2025-05-06T11:39:24Z
155733,1136,ManyFace Pilot Ratings - rater demographics,7875,131572,NA,guest,0,try,92865403,6,2,2025-05-06T11:34:26Z,2025-05-06T11:39:24Z
155734,1136,ManyFace Pilot Ratings - rater demographics,7875,131573,NA,guest,0,gender,92865399,1,male,2025-05-06T11:34:23Z,2025-05-06T11:35:01Z
155734,1136,ManyFace Pilot Ratings - rater demographics,7875,131573,NA,guest,0,age,92865400,2,59,2025-05-06T11:34:23Z,2025-05-06T11:35:01Z
155734,1136,ManyFace Pilot Ratings - rater demographics,7875,131573,NA,guest,0,residence,92865401,3,GB,2025-05-06T11:34:23Z,2025-05-06T11:35:01Z
155734,1136,ManyFace Pilot Ratings - rater demographics,7875,131573,NA,guest,0,ethnicity,92865402,4,British,2025-05-06T11:34:23Z,2025-05-06T11:35:01Z
155734,1136,ManyFace Pilot Ratings - rater demographics,7875,131573,NA,guest,0,device,92865411,5,desktop,2025-05-06T11:34:23Z,2025-05-06T11:35:01Z
155734,1136,ManyFace Pilot Ratings - rater demographics,7875,131573,NA,guest,0,try,92865403,6,2,2025-05-06T11:34:23Z,2025-05-06T11:35:01Z
155735,1136,ManyFace Pilot Ratings - rater demographics,7875,131574,NA,guest,0,gender,92865399,1,male,2025-05-06T11:41:37Z,2025-05-06T11:42:12Z
155735,1136,ManyFace Pilot Ratings - rater demographics,7875,131574,NA,guest,0,age,92865400,2,32,2025-05-06T11:41:37Z,2025-05-06T11:42:12Z
155735,1136,ManyFace Pilot Ratings - rater demographics,7875,131574,NA,guest,0,residence,92865401,3,HU,2025-05-06T11:41:37Z,2025-05-06T11:42:12Z
155735,1136,ManyFace Pilot Ratings - rater demographics,7875,131574,NA,guest,0,ethnicity,92865402,4,White,2025-05-06T11:41:37Z,2025-05-06T11:42:12Z
155735,1136,ManyFace Pilot Ratings - rater demographics,7875,131574,NA,guest,0,device,92865411,5,desktop,2025-05-06T11:41:37Z,2025-05-06T11:42:12Z
155735,1136,ManyFace Pilot Ratings - rater demographics,7875,131574,NA,guest,0,try,92865403,6,2,2025-05-06T11:41:37Z,2025-05-06T11:42:12Z
155736,1136,ManyFace Pilot Ratings - rater demographics,7875,131575,NA,guest,0,gender,92865399,1,male,2025-05-06T11:36:58Z,2025-05-06T11:37:39Z
155736,1136,ManyFace Pilot Ratings - rater demographics,7875,131575,NA,guest,0,age,92865400,2,45,2025-05-06T11:36:58Z,2025-05-06T11:37:39Z
155736,1136,ManyFace Pilot Ratings - rater demographics,7875,131575,NA,guest,0,residence,92865401,3,ZA,2025-05-06T11:36:58Z,2025-05-06T11:37:39Z
155736,1136,ManyFace Pilot Ratings - rater demographics,7875,131575,NA,guest,0,ethnicity,92865402,4,White,2025-05-06T11:36:58Z,2025-05-06T11:37:39Z
155736,1136,ManyFace Pilot Ratings - rater demographics,7875,131575,NA,guest,0,device,92865411,5,laptop,2025-05-06T11:36:58Z,2025-05-06T11:37:39Z
155736,1136,ManyFace Pilot Ratings - rater demographics,7875,131575,NA,guest,0,try,92865403,6,2,2025-05-06T11:36:58Z,2025-05-06T11:37:39Z
155737,1136,ManyFace Pilot Ratings - rater demographics,7875,131576,NA,guest,0,gender,92865399,1,male,2025-05-06T11:31:13Z,2025-05-06T11:32:13Z
155737,1136,ManyFace Pilot Ratings - rater demographics,7875,131576,NA,guest,0,age,92865400,2,31,2025-05-06T11:31:13Z,2025-05-06T11:32:13Z
155737,1136,ManyFace Pilot Ratings - rater demographics,7875,131576,NA,guest,0,residence,92865401,3,IT,2025-05-06T11:31:13Z,2025-05-06T11:32:13Z
155737,1136,ManyFace Pilot Ratings - rater demographics,7875,131576,NA,guest,0,ethnicity,92865402,4,Caucasian,2025-05-06T11:31:13Z,2025-05-06T11:32:13Z
155737,1136,ManyFace Pilot Ratings - rater demographics,7875,131576,NA,guest,0,device,92865411,5,laptop,2025-05-06T11:31:13Z,2025-05-06T11:32:13Z
155737,1136,ManyFace Pilot Ratings - rater demographics,7875,131576,NA,guest,0,try,92865403,6,2,2025-05-06T11:31:13Z,2025-05-06T11:32:13Z
155738,1136,ManyFace Pilot Ratings - rater demographics,7875,131577,NA,guest,0,gender,92865399,1,male,2025-05-06T11:36:50Z,2025-05-06T11:37:27Z
