lab_id,model_id,std_ang,std_dis,std_fea,std_hap,std_neu,std_sad,std_sur,unstd_neu,age,ethnicity,ethnicity_rec,face_shape,face_shape-specific,gender,gender_rec,height,height_units,height_cm,weight,weight_units,weight_kg,makeup_blush,makeup_concealer,makeup_eyebrow,makeup_eyelashes,makeup_eyes,makeup_foundation,makeup_lips,makeup_permanent,makeup_semipermanent
MF0007,0005,1,1,1,1,1,1,1,0,44,east indian,Asian,2,Braces at age 14.,female,female,67,in,170.18,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0007,0006,0,0,0,0,0,0,0,1,NA,south asian,Asian,NA,NA,female,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF0007,0007,0,0,0,0,0,0,0,1,54,NA,NA,1,NA,female,female,63,in,160.02,NA,NA,NA,1,1,1,1,2,1,1,1,1
MF0007,0008,1,1,1,1,1,1,1,0,38,chinese,Asian,1,NA,female,female,160,cm,160,130,lb,58.96707822663317,1,1,1,1,1,1,1,1,1
MF0007,0009,0,0,0,0,0,0,0,1,46,white,White,1,NA,female,female,62,in,157.48,NA,NA,NA,1,1,1,1,1,2,1,1,1
MF0007,0010,0,0,0,0,0,0,0,1,37,east african middle eastern,Middle Eastern or North African (MENA),1,NA,female,female,64,in,162.56,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0008,0002,1,1,1,1,1,1,1,1,20,south asian,Asian,1,NA,female,female,167,cm,167,130,lb,58.96707822663317,1,1,1,1,1,1,1,1,1
MF0008,0004,1,1,1,1,1,1,1,1,19,east indian,Asian,1,NA,male,male,178,cm,178,185,lb,83.91468824559335,1,1,1,1,1,1,1,1,1
MF0008,0005,1,1,1,1,1,1,1,1,18,chinese - east asian,Asian,1,NA,female,female,163,cm,163,125,lb,56.69911367945497,1,1,1,1,1,1,1,1,1
MF0008,0006,1,1,1,1,1,1,1,1,18,caucasian,White,1,NA,female,female,163,cm,163,110,lb,49.895220037920375,1,1,1,1,1,2,1,1,1
MF0008,0007,1,1,1,1,1,1,1,1,20,south asian,Asian,1,N/A,male,male,191,cm,191,170,lb,77.11079460405875,1,1,1,1,1,1,1,1,1
MF0008,0008,1,1,1,1,1,1,1,1,21,south asian,Asian,1,NA,male,male,188,cm,188,95,kg,95,1,1,1,1,1,1,1,1,1
MF0008,0009,1,1,1,1,1,1,1,1,20,south asian,Asian,1,na,female,female,173,cm,173,65,kg,65,1,1,1,1,1,1,1,1,1
MF0008,0010,1,1,1,1,1,1,1,1,20,south asian,Asian,2,SLIGHT CHANGE IN MID UPPER LIP,female,female,168,cm,168,58,kg,58,1,1,1,1,1,1,1,2,1
MF0008,0011,1,1,1,1,1,1,1,1,20,south asian,Asian,1,na,male,male,188,in,188,72,kg,72,1,1,1,1,1,1,1,1,1
MF0008,0012,1,1,1,1,1,1,1,1,18,south asian,Asian,1,na,female,female,163,cm,163,37,kg,37,1,1,1,1,2,1,2,1,1
MF0010,0001,1,1,1,1,1,1,1,1,27,tã¼rkiye,Middle Eastern or North African (MENA),NA,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0010,0002,1,1,1,1,1,1,1,1,18,german,White,1,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0010,0003,1,1,1,1,1,1,1,1,62,NA,NA,NA,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0010,0004,1,1,1,1,1,1,1,1,30,tã¼rkiye,Middle Eastern or North African (MENA),NA,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0010,0005,1,1,1,1,1,1,1,1,44,NA,NA,1,NA,female,female,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0010,0006,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,female,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
