ID,std_ang,std_dis,std_fea,std_hap,std_neu,std_sad,std_sur,unstd_neu,age,ethnicity,face_shape,face_shape-specific,gender,height,height_units,makeup_blush,makeup_concealer,makeup_eyebrow,makeup_eyelashes,makeup_eyes,makeup_foundation,makeup_lips,makeup_permanent,makeup_semipermanent,weight,weight_units
MF0007_0010,0,0,0,0,0,0,0,1,37,East African Middle Eastern,1,NA,Female,64,in,1,1,1,1,1,1,1,1,1,NULL,NULL
MF0008_0002,1,1,1,1,1,1,1,1,20,South Asian,1,NA,Female,167,cm,1,1,1,1,1,1,1,1,1,130,lb
MF0008_0004,1,1,1,1,1,1,1,1,19,East indian,1,NA,Male,178,cm,1,1,1,1,1,1,1,1,1,185,lb
MF0008_0005,1,1,1,1,1,1,1,1,18,CHINESE - EAST ASIAN,1,NA,FEMALE,163,cm,1,1,1,1,1,1,1,1,1,125,lb
MF0008_0006,1,1,1,1,1,1,1,1,18,CAUCASIAN,1,NA,FEMALE,163,cm,1,1,1,1,1,2,1,1,1,110,lb
MF0008_0007,1,1,1,1,1,1,1,1,20,South asian,1,N/A,Male,191,cm,1,1,1,1,1,1,1,1,1,170,lb
MF0008_0008,1,1,1,1,1,1,1,1,21,south asian,1,NA,male,188,cm,1,1,1,1,1,1,1,1,1,95,kg
MF0008_0009,1,1,1,1,1,1,1,1,20,South asian,1,na,female,173,cm,1,1,1,1,1,1,1,1,1,65,kg
MF0008_0010,1,1,1,1,1,1,1,1,20,south asian,2,SLIGHT CHANGE IN MID UPPER LIP,female,168,cm,1,1,1,1,1,1,1,2,1,58,kg
MF0008_0011,1,1,1,1,1,1,1,1,20,south Asian,1,na,Male,188,in,1,1,1,1,1,1,1,1,1,72,kg
MF0008_0012,1,1,1,1,1,1,1,1,18,south asian,1,na,female,163,cm,1,1,1,1,2,1,2,1,1,37,kg
MF0010_0001,1,1,1,1,1,1,1,1,27,TÃ¼rkiye,NA,NA,female,NULL,NULL,1,1,1,1,1,1,1,1,1,NULL,NULL
MF0010_0002,1,1,1,1,1,1,1,1,18,german,1,NA,female,NULL,NULL,1,1,1,1,1,1,1,1,1,NULL,NULL
MF0010_0003,1,1,1,1,1,1,1,1,62,NA,NA,NA,female,NULL,NULL,1,1,1,1,1,1,1,1,1,NULL,NULL
MF0010_0004,1,1,1,1,1,1,1,1,30,tÃ¼rkiye,NA,NA,female,NULL,NULL,1,1,1,1,1,1,1,1,1,NULL,NULL
MF0010_0005,1,1,1,1,1,1,1,1,44,NA,1,NA,FEMALE,NULL,NULL,1,1,1,1,1,1,1,1,1,NULL,NULL
MF0010_0006,1,1,1,1,1,1,1,1,NA,NA,NA,NA,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF0010_0007,1,1,1,1,1,1,1,1,NA,NA,NA,NA,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF0010_0008,1,1,1,1,1,1,1,1,63,NA,NA,NA,FEMALE,NULL,NULL,1,1,1,1,1,1,1,1,1,NULL,NULL
MF0010_0009,1,1,1,1,1,1,1,1,60,NA,NA,NA,FEMALE,NULL,NULL,1,1,1,1,1,1,1,1,1,NULL,NULL
MF0010_0010,1,1,1,1,1,1,1,1,80,NA,NA,NA,MALE,NULL,NULL,1,1,1,1,1,1,1,1,1,NULL,NULL
MF0010_0011,1,1,1,1,1,1,1,1,33,GERMAN,1,NA,MALE,NULL,NULL,1,1,1,1,1,1,1,1,1,NULL,NULL
MF0010_0012,1,1,1,1,1,1,1,1,27,TURKISH,1,NA,FEMALE,NULL,NULL,1,1,1,1,1,1,1,1,1,NULL,NULL
MF0010_0013,1,1,1,1,1,1,1,1,65,GERMAN,NA,NA,FEMALE,NULL,NULL,1,1,1,1,1,1,1,1,1,NULL,NULL
MF0010_0014,1,1,1,1,1,1,1,1,NA,NA,NA,NA,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF0011_0001,1,1,1,1,1,1,1,0,26,German,1,"Brocken nose, But no Sugery",Female,173,cm,1,1,1,1,1,1,1,1,1,108,kg
MF0011_0002,1,1,1,1,1,1,1,1,25,German,1,/,female,174,cm,2,2,2,1,2,1,2,1,1,62,kg
MF0011_0003,1,1,1,1,1,1,1,1,26,german,1,NA,female,179,cm,1,1,2,1,1,1,1,1,1,56,kg
MF0011_0004,1,1,1,1,1,1,1,1,24,german/argentinien,1,no,female,180,cm,1,1,1,1,1,1,1,1,1,63,kg
MF0011_0005,1,1,1,1,1,1,1,0,22,German,1,NA,Male,180,cm,1,1,1,1,1,1,1,1,1,75,kg
MF0011_0006,1,1,1,1,1,1,1,1,25,caucasian,2,wisdom teeth removal,male,188,cm,1,1,1,1,1,1,1,1,1,89,kg
MF0011_0007,1,1,1,1,1,1,1,0,24,german,1,NA,female,175,cm,1,2,1,1,1,1,1,1,1,78,kg
MF0011_0008,1,1,1,1,1,1,1,1,27,caucasian,1,no,female,178,cm,1,1,1,1,1,1,1,1,1,70,kg
MF0011_0009,1,1,1,1,1,1,1,1,31,german,1,NA,male,169,cm,1,1,1,1,1,1,1,1,1,80,kg
MF0011_0010,1,1,1,1,1,1,1,0,30,caucasian,1,NA,NA,167,cm,1,1,1,1,1,1,1,1,1,60,kg
MF0011_0011,1,1,1,1,1,1,1,1,23,"german, swedish",1,no,female,170,cm,1,2,1,1,1,1,1,1,1,85,kg
MF0012_0001,1,1,1,1,1,1,1,1,26,Israeli,1,-,Female,173,cm,1,1,1,1,1,1,1,1,1,65,kg
MF0012_0002,1,1,1,1,1,1,1,1,25,israeli,1,-,male,193,cm,1,1,1,1,1,1,1,1,1,130,kg
MF0012_0003,1,1,1,1,1,1,1,1,24,israel,1,NA,female,162,cm,1,1,1,1,1,1,1,1,1,71,kg
MF0012_0004,1,1,1,1,1,1,1,1,21,Israeli,1,NA,female,157,cm,1,1,1,1,1,1,1,1,1,52,kg
MF0012_0005,0,1,1,1,1,1,1,1,29,Israeli,1,-,Female,164,cm,1,1,1,1,1,1,1,1,1,60,kg
MF0012_0006,1,1,1,1,1,1,1,1,25,israeli,1,NA,male,182,cm,1,1,1,1,1,1,1,1,1,77,kg
MF0012_0007,1,1,1,1,1,1,1,1,25,Israeli,1,-,male,193,cm,1,1,1,1,1,1,1,1,1,130,kg
MF0012_0008,1,1,0,1,1,1,1,1,26,Middle eastern/White,1,-,Female,173,cm,1,1,1,1,1,1,1,1,1,65,kg
MF0012_0009,1,1,0,1,1,0,1,1,22,Muslim,1,-,Female,158,cm,1,1,1,1,2,1,2,1,1,52,kg
MF0012_0010,1,1,1,1,1,1,1,1,29,Israeli.,1,-,Female.,164,cm,1,1,1,1,1,1,1,1,1,60,kg
MF0013_0002,1,1,1,1,1,1,1,1,23,Chinese,1,NA,Female,160,cm,1,1,1,1,1,1,1,1,1,50,kg
MF0013_0003,1,1,1,1,1,1,1,1,34,Chinese,1,no,female,156,cm,1,1,2,1,1,1,1,1,1,60,kg
MF0013_0004,1,1,1,1,1,1,1,1,22,Chinese,1,NA,Male,170,cm,1,1,1,1,1,1,1,1,1,75,kg
MF0013_0005,1,1,1,1,1,1,1,1,24,Chinese,1,NA,Female,162,cm,1,1,1,1,1,1,1,1,2,53,kg
MF0013_0006,1,1,1,1,1,1,1,1,24,Chinese,1,NA,Male,175,cm,1,1,1,1,1,1,1,1,1,70,kg
MF0013_0007,1,1,1,1,1,1,1,1,35,Chinese,1,NA,Female,162,cm,1,1,1,1,1,1,1,1,1,66,kg
MF0013_0008,1,1,1,1,1,1,1,1,23,Malaysian Chinese,1,NA,Female,165,cm,1,1,1,1,1,1,1,1,1,63,kg
MF0013_0009,1,1,1,1,1,1,1,1,32,WHITE,1,NA,MALE,186,cm,1,1,1,1,1,1,1,1,1,70,kg
MF0013_0010,1,1,1,1,1,1,1,1,27,Chinese-Indian-Malay mixed,1,NA,F,160,cm,1,1,1,1,1,1,1,1,1,55,kg
MF0013_0011,1,1,1,1,1,1,1,1,40,White,1,NA,female,166,cm,1,2,1,1,1,2,1,1,1,80,kg
MF0013_0012,0,0,0,1,1,0,0,1,21,Chinese,1,N/A,Female,158,cm,1,2,1,1,1,1,1,1,1,0,kg
MF0014_0001,1,1,0,1,1,0,1,1,23,Chinese,1,NA,Female,162,cm,1,1,1,1,1,1,1,1,1,62,kg
MF0014_0002,1,1,0,1,1,1,1,1,22,Chinese,1,NA,Male,164,cm,1,1,1,1,1,1,1,1,1,64,kg
MF0014_0003,1,0,0,1,1,1,1,1,28,Chinese,1,NA,Female,165,cm,1,1,1,1,1,1,2,1,1,53,kg
MF0014_0004,1,1,0,1,1,1,0,1,24,chinese,1,NA,Male,181,cm,1,1,1,1,1,1,1,1,1,67,kg
MF0014_0005,1,0,0,1,1,1,1,1,24,Chinese,1,-,Male,176,cm,1,1,1,1,1,1,1,1,1,60,kg
MF0014_0006,1,1,0,1,1,1,1,1,20,Chinese,1,NA,Male,170,cm,1,1,1,1,1,1,1,1,1,120,kg
MF0014_0007,1,1,0,1,1,1,1,1,21,Chinese,1,NA,Male,185,cm,1,1,1,1,1,1,1,1,1,75,kg
MF0014_0008,1,1,0,1,1,0,1,1,20,Chinese,1,NA,Female,172,cm,1,1,1,1,1,1,1,1,1,NULL,NULL
MF0014_0009,1,1,0,1,1,1,1,1,19,Malaysian,1,NA,Genderfluid (AMAB),165,cm,1,1,1,1,1,1,1,1,1,59,kg
MF0014_0010,1,0,0,1,1,1,0,1,27,Chinese,1,NA,Male,175,cm,1,1,1,1,1,1,1,1,1,70,kg
MF0015_0001,1,1,1,1,1,1,1,1,39,South Asian,1,n/a,male,178,cm,1,1,1,1,1,1,1,1,1,130,kg
MF0015_0002,1,1,1,1,1,1,1,1,20,Chinese,1,-,Female,163,cm,1,1,1,1,1,1,1,1,1,80,kg
MF0015_0003,1,1,1,1,1,1,1,1,21,CHINESE,1,NA,MALE,170,cm,1,1,1,1,1,1,1,1,1,86,kg
MF0015_0004,1,1,1,1,1,1,1,1,21,Chinese,1,NA,Male,169,cm,1,1,1,1,1,1,1,1,1,102,kg
MF0015_0005,1,1,1,1,1,1,1,1,20,CHINESE,1,NA,FEMALE,155,cm,1,1,1,1,1,1,1,1,1,50,kg
MF0015_0006,1,1,1,1,1,1,1,0,45,Hindu,1,nil,Male,169,cm,1,1,1,1,1,1,1,1,1,89,kg
MF0015_0007,1,1,1,1,1,1,1,1,20,Chinese,1,NA,Female,149,cm,1,1,1,1,1,1,1,1,1,53,kg
MF0015_0008,1,1,1,1,1,1,1,1,23,MALAYSIAN CHINESE,1,nil,MALE,176,cm,1,1,1,1,1,1,1,1,1,67,kg
MF0015_0009,1,1,1,1,1,1,1,1,20,malaysian,1,NA,female,153,cm,1,1,1,1,1,1,1,1,1,54,kg
MF0015_0010,1,1,1,1,1,1,1,1,22,Chinese,1,NA,Female,167,cm,1,1,1,1,1,1,2,2,1,52,kg
MF0015_0011,1,1,1,1,1,1,1,0,21,MALAYSIA CHINESE,1,-,MALE,171,cm,1,1,1,1,1,1,1,1,1,63,kg
MF0015_0012,1,1,1,1,1,1,1,1,21,Malaysian Chinese,1,NA,female,174,cm,1,1,1,1,1,1,1,1,1,58,kg
MF0015_0013,1,1,1,1,1,1,1,1,22,Chinese,1,NA,Female,165,cm,1,1,1,1,1,1,1,1,1,NULL,NULL
