ID,std_ang,std_dis,std_fea,std_hap,std_neu,std_sad,std_sur,unstd_neu,age,ethnicity,face_shape,face_shape-specific,gender,height,height_units,makeup_blush,makeup_concealer,makeup_eyebrow,makeup_eyelashes,makeup_eyes,makeup_foundation,makeup_lips,makeup_permanent,makeup_semipermanent,weight,weight_units
MF0025_0001,1,1,1,1,1,1,1,1,22,Not hispanic/latino,1,N/A,Female,67,in,1,1,1,1,1,1,1,1,1,145,lb
MF0025_0002,1,1,1,1,1,1,1,1,24,white / middle-eastern,1,NA,female,63,in,1,1,1,1,1,1,1,1,1,140,lb
MF0025_0003,1,1,1,1,1,1,1,1,NA,NA,NA,NA,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF0025_0004,1,1,1,1,1,1,1,1,23,white / middle eastern,1,NA,female,63,in,1,1,1,1,1,1,1,1,1,130,lb
MF0025_0005,1,1,1,1,1,1,1,0,24,Asian,2,Braces,Male,70,in,1,1,1,1,1,1,1,1,1,135,lb
MF0025_0006,1,1,1,1,1,1,1,0,22,African American,1,NA,Male,67,in,1,1,1,1,1,1,1,1,1,70,lb
MF0025_0007,1,1,1,1,1,1,1,1,33,Asian/Chinese,1,no,F,170,cm,1,1,1,1,1,1,1,1,1,54,kg
MF0025_0008,1,1,1,1,1,1,1,0,22,white,2,"Wisdom teeth removal, root canal + crown implant",male,75,in,1,1,1,1,1,1,1,1,1,205,lb
MF0025_0009,1,1,1,1,1,1,1,0,22,white,2,I had orthodontic work,female,71,in,2,2,1,1,2,1,1,1,1,140,lb
MF0025_0010,1,1,1,1,1,1,1,0,22,Puerto Rican/Hispanic,1,NA,Male,177,cm,1,1,1,1,1,1,1,1,1,150,lb
MF0026_0001,1,1,1,1,1,1,1,0,23,white,2,"Broken cheek at 6 years old, I think it fully healed, though. Also have a bit of TMJ, and some orthodontic work to fix that.",female,67,in,1,1,1,1,1,1,1,1,1,240,lb
MF0026_0002,1,1,1,1,1,1,1,0,24,white,1,n/a,nonbinary,69,in,1,1,1,1,1,1,1,1,1,140,lb
MF0026_0003,1,1,1,1,1,1,1,0,35,White,1,NA,Female,170,cm,1,1,1,1,1,1,1,1,1,75,kg
MF0026_0004,1,1,1,1,1,1,1,0,22,White,1,no,Female,66,in,1,1,1,1,1,1,1,1,1,127,lb
MF0026_0005,1,1,1,1,1,1,1,0,26,Asian,1,NA,Female,159,cm,1,1,1,1,1,1,1,1,1,55,kg
MF0026_0006,1,1,1,1,1,1,1,0,24,Asian,1,NA,Femal,173,cm,1,1,1,1,1,1,1,1,1,69,kg
MF0026_0007,1,1,1,1,1,1,1,0,25,Meditrainian,1,NA,Male,172,cm,1,1,1,1,1,1,1,1,1,63,kg
MF0026_0008,1,1,1,1,1,1,1,0,32,N/a,1,NA,female,64,in,1,1,1,1,1,1,1,1,1,156,lb
MF0026_0009,1,0,1,1,1,0,0,0,32,white,1,n/a,male,187,cm,1,1,1,1,1,1,1,1,1,82,kg
